file_name,column_value,,,,Month,Greedy_AUC,Conservative_AUC
AUC,0.625,,,,Jan,0.696969697,0.636363636
c_AprAUC,0.773217457,,,,Feb,0.931922375,0.928574231
c_AugAUC,0.835302039,,,,Mar,0.933281136,0.930669331
c_DecAUC,0.625,,,,Apr,0.740525882,0.773217457
c_FebAUC,0.928574231,,,,May,0.853452776,0.870690555
c_JanAUC,0.636363636,,,,Jun,0.942653891,0.944396051
c_JulAUC,0.945362469,,,,Jul,0.940339685,0.945362469
c_JunAUC,0.944396051,,,,Aug,0.820854175,0.835302039
c_MarAUC,0.930669331,,,,Sep,0.688462932,0.694934798
c_MayAUC,0.870690555,,,,Oct,0.746686107,0.770155722
c_NovAUC,0.773955255,,,,Nov,0.804840298,0.773955255
c_OctAUC,0.770155722,,,,Dec,0.65234375,0.625
c_SepAUC,0.694934798,,,,,,
g_AprAUC,0.740525882,,,,,,
g_AugAUC,0.820854175,,,,,,
g_DecAUC,0.65234375,,,,,,
g_FebAUC,0.931922375,,,,,,
g_JanAUC,0.696969697,,,,,,
g_JulAUC,0.940339685,,,,,,
g_JunAUC,0.942653891,,,,,,
g_MarAUC,0.933281136,,,,,,
g_MayAUC,0.853452776,,,,,,
g_NovAUC,0.804840298,,,,,,
g_OctAUC,0.746686107,,,,,,
g_SepAUC,0.688462932,,,,,,